id,stationName,gegrLat,gegrLon,city,addressStreet
882,KMŚ Puszcza Borecka,54.124819,22.038056,"{'id': 167, 'name': 'Diabla Góra', 'commune': {'communeName': 'Kruklanki', 'districtName': 'giżycki', 'provinceName': 'WARMIŃSKO-MAZURSKIE'}}",Diabla Góra
10005,WIOŚ Ełk,53.828455,22.34845,"{'id': 203, 'name': 'Ełk', 'commune': {'communeName': 'Ełk', 'districtName': 'ełcki', 'provinceName': 'WARMIŃSKO-MAZURSKIE'}}",ul. Piłsudskiego 27
10030,WIOŚ Ostróda Piłsudskiego,53.694628,19.968892,"{'id': 657, 'name': 'Ostróda', 'commune': {'communeName': 'Ostróda', 'districtName': 'ostródzki', 'provinceName': 'WARMIŃSKO-MAZURSKIE'}}",Piłsudskiego 4
11375,WIOŚ Biskupiec-Mobilna,53.860702,20.957892,"{'id': 2260, 'name': 'Biskupiec', 'commune': {'communeName': 'Biskupiec', 'districtName': 'olsztyński', 'provinceName': 'WARMIŃSKO-MAZURSKIE'}}",Mickiewicza 8
943,Poznan-Polanka,52.398175,16.959519,"{'id': 729, 'name': 'Poznań', 'commune': {'communeName': 'Poznań', 'districtName': 'Poznań', 'provinceName': 'WIELKOPOLSKIE'}}",ul. Polanka
944,Poznan-Dabrowskiego,52.420319,16.877289,"{'id': 729, 'name': 'Poznań', 'commune': {'communeName': 'Poznań', 'districtName': 'Poznań', 'provinceName': 'WIELKOPOLSKIE'}}",ul. Dąbrowskiego 169
11477,Poznań - RatajeMOB,52.391728,16.998578,"{'id': 729, 'name': 'Poznań', 'commune': {'communeName': 'Poznań', 'districtName': 'Poznań', 'provinceName': 'WIELKOPOLSKIE'}}",Żelazna
952,Kalisz-Wyszynskiego,51.749053,18.048389,"{'id': 336, 'name': 'Kalisz', 'commune': {'communeName': 'Kalisz', 'districtName': 'Kalisz', 'provinceName': 'WIELKOPOLSKIE'}}",ul.Wyszyńskiego
902,Konin-Wyszynskiego,52.225633,18.269036,"{'id': 393, 'name': 'Konin', 'commune': {'communeName': 'Konin', 'districtName': 'Konin', 'provinceName': 'WIELKOPOLSKIE'}}",ul. Wyszyńskiego 3
920,"Pila, ul. Kusocinkiego",53.154408,16.759572,"{'id': 699, 'name': 'Piła', 'commune': {'communeName': 'Piła', 'districtName': 'pilski', 'provinceName': 'WIELKOPOLSKIE'}}",ul. Kusocińskiego
946,Piaski-Krzyzowka,52.501389,17.773464,"{'id': 441, 'name': 'Krzyżówka', 'commune': {'communeName': 'Witkowo', 'districtName': 'gnieźnieński', 'provinceName': 'WIELKOPOLSKIE'}}",
950,Borowiec-Drapalka,52.276794,17.074114,"{'id': 62, 'name': 'Borówiec', 'commune': {'communeName': 'Kórnik', 'districtName': 'poznański', 'provinceName': 'WIELKOPOLSKIE'}}",ul. Drapałka 4
9218,"Pleszew, Al. Mickiewicza",51.884922,17.791106,"{'id': 706, 'name': 'Pleszew', 'commune': {'communeName': 'Pleszew', 'districtName': 'pleszewski', 'provinceName': 'WIELKOPOLSKIE'}}",al. Mickiewicza
10834,Kozieglowy-os.Lesne,52.449331,16.999683,"{'id': 2163, 'name': 'Koziegłowy', 'commune': {'communeName': 'Czerwonak', 'districtName': 'poznański', 'provinceName': 'WIELKOPOLSKIE'}}",osiedle Leśne 22
986,Szczecin_Andrzejewskiego,53.380975,14.663347,"{'id': 917, 'name': 'Szczecin', 'commune': {'communeName': 'Szczecin', 'districtName': 'Szczecin', 'provinceName': 'ZACHODNIOPOMORSKIE'}}",ul. Andrzejewskiego 23
987,Szczecin_Piłsudskiego,53.432169,14.5539,"{'id': 917, 'name': 'Szczecin', 'commune': {'communeName': 'Szczecin', 'districtName': 'Szczecin', 'provinceName': 'ZACHODNIOPOMORSKIE'}}",ul. Piłsudskiego 1
966,Koszalin_ArmiiKrajowej,54.193986,16.172544,"{'id': 402, 'name': 'Koszalin', 'commune': {'communeName': 'Koszalin', 'districtName': 'Koszalin', 'provinceName': 'ZACHODNIOPOMORSKIE'}}",ul. Armii Krajowej
11336,Koszalin_Chopina,54.194117,16.211661,"{'id': 402, 'name': 'Koszalin', 'commune': {'communeName': 'Koszalin', 'districtName': 'Koszalin', 'provinceName': 'ZACHODNIOPOMORSKIE'}}",Chopina 42
961,Widuchowa,53.122325,14.382222,"{'id': 1025, 'name': 'Widuchowa', 'commune': {'communeName': 'Widuchowa', 'districtName': 'gryfiński', 'provinceName': 'ZACHODNIOPOMORSKIE'}}",ul. Bulwary Rybackie 1
